id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L06-01,Listening,"Which do you prefer, pandas or cats? I prefer pandas.","판다와 고양이 중 어떤 것을 더 선호하니? 나는 판다를 더 좋아해.,G0601,선호 묻고 답하기",선호 묻고 답하기,Which do you prefer, A or B?,하,106,"Which do you prefer, pandas | or cats? I prefer pandas.","판다와 고양이 중 어떤 것을 더 | 선호하니? 나는 판다를 더 좋아해.,G0601,선호 묻고 답하기",Main Clause | Sub Clause,AutoParsed,generic_concept
L06-02,Listening,"Which do you prefer, working alone or working on a team?","혼자 일하는 것과 팀으로 일하는 것 중 무엇을 더 선호하니?,G0601,선호 묻기",선호 묻기,Which do you prefer, V-ing or V-ing?,하,106,"Which do you prefer, working | alone or working on a team?","혼자 일하는 것과 팀으로 일하는 | 것 중 무엇을 더 선호하니?,G0601,선호 묻기",Main Clause | Sub Clause,AutoParsed,generic_concept
L06-03,Listening,Actually," I hate working on a team.,사실, 나는 팀으로 일하는 것을 정말 싫어해.,G0602,강한 불호 표현",강한 불호 표현,Actually, I hate V-ing,하,106,Actually | ," I hate working on a team.,사실, | 나는 팀으로 일하는 것을 정말 싫어해.,G0602,강한 불호 표현",Main Clause | Sub Clause,AutoParsed,generic_concept
L06-04,Listening,"Which do you prefer, paper books or digital books? I prefer digital books.","종이책과 전자책 중 어떤 것을 더 선호하니? 나는 전자책이 좋아.,G0601,선호 묻고 답하기",선호 묻고 답하기,Which do you prefer, A or B?,하,106,"Which do you prefer, paper books | or digital books? I prefer digital books.","종이책과 전자책 중 어떤 것을 더 | 선호하니? 나는 전자책이 좋아.,G0601,선호 묻고 답하기",Main Clause | Sub Clause,AutoParsed,generic_concept
L06-05,Listening,I’m proud that we’ve collected so many interesting books to give away.,나눠줄 흥미로운 책들을 이렇게 많이 모아서 뿌듯해.,G0603,감정의 원인(접속사),I'm proud that S + V,중,107,I’m proud that we’ve collected so | many interesting books to give away.,나눠줄 흥미로운 책들을 | 이렇게 많이 모아서 뿌듯해.,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-06,Listening,Which do you prefer," making the bookmarks or writing the messages?,책갈피를 만드는 것과 메시지를 쓰는 것 중 어떤 걸 더 하고 싶니?,G0601,선호 묻기",선호 묻기,Which do you prefer, V-ing or V-ing?,하,107,Which do | you prefer," making the bookmarks or writing the messages?,책갈피를 만드는 것과 | 메시지를 쓰는 것 중 어떤 걸 더 하고 싶니?,G0601,선호 묻기",Main Clause | Sub Clause,AutoParsed,generic_concept
L06-07,Main,The more books we share," the more we learn.,우리가 더 많은 책을 공유할수록, 우리는 더 많이 배운다.,G0604,the + 비교급",the + 비교급,the + 비교급, the + 비교급,상,110,The more | books we share," the more we learn.,우리가 더 많은 | 책을 공유할수록, 우리는 더 많이 배운다.,G0604,the + 비교급",Main Clause | Sub Clause,AutoParsed,generic_concept
L06-08,Main,It provides both the information and the tools necessary to make clean drinking water.,이것은 깨끗한 식수를 만드는 데 필요한 정보와 도구를 모두 제공한다.,G0605,상관접속사,both A and B,중,111,It provides both the information and the | tools necessary to make clean drinking water.,이것은 깨끗한 식수를 만드는 데 | 필요한 정보와 도구를 모두 제공한다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-09,Main,It is this filtered water that you can drink.,당신이 마실 수 있는 것은 바로 이 여과된 물이다.,G0606,It ~ that 강조구문,It is + N + that + S + V,상,111,It is this filtered | water that you can drink.,당신이 마실 수 있는 | 것은 바로 이 여과된 물이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-10,Main,This amazing book saves the lives of many children from diseases that come from dirty water.,이 놀라운 책은 더러운 물에서 기인하는 질병으로부터 많은 아이의 생명을 구한다.,G0607,주격 관계대명사,N + that + V,중,111,This amazing book saves the lives of many | children from diseases that come from dirty water.,이 놀라운 책은 더러운 물에서 | 기인하는 질병으로부터 많은 아이의 생명을 구한다.,Main Clause | Sub Clause,AutoParsed,generic_concept
