id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L04-01,Listening,I don’t know if it will rain tomorrow.,내일 비가 올지 안 올지 모르겠어.,G0401,접속사 if/whether (명사절),if + S + V,중,72,I don’t know if | it will rain tomorrow.,내일 비가 올지 | 안 올지 모르겠어.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L04-02,Main,This is the place where I first met my best friend.,이곳은 내가 나의 가장 친한 친구를 처음 만난 곳이야.,G0402,관계부사(where),N(place) + where + S + V,중,74,This is the place where | I first met my best friend.,이곳은 내가 나의 가장 | 친한 친구를 처음 만난 곳이야.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-03,Main,Tell me the reason why you are late.,네가 늦은 이유를 나에게 말해줘.,G0404,관계부사(why),N(reason) + why + S + V,중,80,Tell me the reason | why you are late.,네가 늦은 | 이유를 나에게 말해줘.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-04,Reading,I’m curious whether she will come to the party.,그녀가 파티에 올지 궁금해.,G0407,접속사 if/whether (명사절),whether + S + V,중,95,I’m curious whether she | will come to the party.,그녀가 파티에 | 올지 궁금해.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L04-05,Reading,This is the way they solve the problem.,이것이 그들이 문제를 해결하는 방식이다.,G0408,관계부사(how),the way / how,상,98,This is the way | they solve the problem.,이것이 그들이 | 문제를 해결하는 방식이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-006,Reading,This is the place where we keep our important documents.,이곳은 우리가 중요한 서류들을 보관하는 장소입니다.,G0402,관계부사 / if 명사절,N + where + S + V / if + S + V,상,95-99,This is the place where | we keep our important documents.,이곳은 우리가 중요한 | 서류들을 보관하는 장소입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-007,Reading,Tell me the reason why you are looking for this place.,왜 이 장소를 찾고 있는지 그 이유를 제게 말해 주세요.,G0402,관계부사 / if 명사절,N + where + S + V / if + S + V,상,95-99,Tell me the reason why | you are looking for this place.,왜 이 장소를 찾고 있는지 | 그 이유를 제게 말해 주세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-008,Reading,I wonder if he knows the truth.,그가 진실을 알고 있는지 궁금합니다.,G0402,관계부사 / if 명사절,N + where + S + V / if + S + V,상,95-99,I wonder if | he knows the truth.,그가 진실을 | 알고 있는지 궁금합니다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L04-009,Extra/Extracted,"in vitamins A and C well Gondre I wonder if spiders are insects, too.",비타민 A와 C가 잘 들어있는 곤드레 거미도 곤충인지 궁금하네요.,,조건의 접속사 / 비교급,If/Unless + S + V / Comparative,중,71,"in vitamins A and C well Gondre | I wonder if spiders are insects, too.",비타민 A와 C가 잘 | 들어있는 곤드레 거미도 곤충인지 궁금하네요.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L04-010,Extra/Extracted,Do you want me to ask Mr.,미스터 아저씨한테 물어볼까?,,to부정사,to + V,중,71,Do you want | me to ask Mr.,미스터 | 아저씨한테 물어볼까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-011,Extra/Extracted,׮Dialog 1 Script 4.1 She needs a(n) because she wants to try some food.,׮Dialog 1 스크립트 4.1 그녀는 음식을 먹어보고 싶어서 a(n)가 필요합니다.,,이유의 접속사 / to부정사,Because/Since + S + V / to + V,중,71,׮Dialog 1 Script 4.1 She needs a(n) | because she wants to try some food.,׮Dialog 1 스크립트 4.1 그녀는 | 음식을 먹어보고 싶어서 a(n)가 필요합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
