id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L04-01,Listening,Why are you disappointed?,왜 실망했니?,G0401,실망 표현하기,Why are you + ADJ?,하,63,Why are | you disappointed?,왜 | 실망했니?,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-02,Listening,I failed the audition for the Mapo Youth Band.,마포 청소년 밴드 오디션에 떨어졌어.,G0402,실패 말하기,I failed + N,하,64,I failed the audition | for the Mapo Youth Band.,마포 청소년 | 밴드 오디션에 떨어졌어.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-03,Listening,Do you think I should keep trying?,내가 계속 노력해야 한다고 생각하니?,G0403,조언 구하기,Do you think I should ...?,중,64,Do you think | I should keep trying?,내가 계속 | 노력해야 한다고 생각하니?,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-04,Listening,Sure. Don’t give up. You’ll do better next time.,물론이지. 포기하지 마. 다음엔 더 잘할 거야.,G0404,격려 표현하기,Don't give up / You'll do better,하,64,Sure. Don’t give up. | You’ll do better next time.,물론이지. 포기하지 마. | 다음엔 더 잘할 거야.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-05,Listening,My parents won’t let me enter Superstar 101.,부모님이 내가 슈퍼스타 101에 참가하는 걸 허락하지 않으셔.,G0405,사역동사(let),let + O + V (원형),중,65,My parents won’t let | me enter Superstar 101.,부모님이 내가 슈퍼스타 101에 | 참가하는 걸 허락하지 않으셔.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-06,Listening,Thank you for your advice.,조언 고마워.,G0406,감사 표현,Thank you for your N,하,65,Thank you | for your advice.,조언 | 고마워.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-07,Main,It was a movie about three African-American women who worked at NASA.,그것은 NASA에서 일했던 세 명의 아프리카계 미국인 여성들에 관한 영화였다.,G0407,주격 관계대명사,N + who + V,하,67,It was a movie about three | African-American women who worked at NASA.,그것은 NASA에서 일했던 세 명의 | 아프리카계 미국인 여성들에 관한 영화였다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-08,Main,They dreamed of becoming space experts and tried hard to get over difficulties.,그들은 우주 전문가가 되는 것을 꿈꿨고 어려움을 극복하기 위해 열심히 노력했다.,G0408,어구 표현,get over difficulties,중,67,They dreamed of becoming space experts | and tried hard to get over difficulties.,그들은 우주 전문가가 되는 것을 | 꿈꿨고 어려움을 극복하기 위해 열심히 노력했다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L04-09,Main,Hearing this," I felt really sorry for her.,이 말을 듣고 나는 그녀에 대해 정말 안타까움을 느꼈다.,G0409,분사구문",분사구문,V-ing, S + V,상,68,Hearing | this," I felt really sorry for her.,이 | 말을 듣고 나는 그녀에 대해 정말 안타까움을 느꼈다.,G0409,분사구문",Main Clause | Sub Clause,AutoParsed,generic_concept
L04-10,Main,This made Al Harrison break down the “Colored Ladies Room” sign.,"이것이 알 해리슨이 ""유색인종 여성 전용 화장실"" 표지판을 부수게 만들었다.",G0405,사역동사,make + O + V (원형),중,68,This made Al Harrison break | down the “Colored Ladies Room” sign.,"이것이 알 해리슨이 ""유색인종 여성 | 전용 화장실"" 표지판을 부수게 만들었다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L04-11,Main,The judge was impressed by what she said and finally gave her permission.,판사는 그녀가 한 말에 감명받았고 마침내 그녀에게 허가를 내주었다.,G0410,관계대명사 what,what + S + V,상,68,The judge was impressed by what | she said and finally gave her permission.,판사는 그녀가 한 말에 | 감명받았고 마침내 그녀에게 허가를 내주었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-12,Main,That was what impressed me most in the movie.,그것이 영화에서 나를 가장 감동시킨 것이었다.,G0410,관계대명사 what,what + V (주어 역할),상,68,That was what impressed | me most in the movie.,그것이 영화에서 나를 | 가장 감동시킨 것이었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L04-13,Main,Dorothy studied a new programming language," FORTRAN.,도로시는 새로운 프로그래밍 언어인 포트란을 공부했다.,G0411,동격 표현",동격 표현,N, N (FORTRAN),하,69,Dorothy studied a | new programming language," FORTRAN.,도로시는 새로운 프로그래밍 | 언어인 포트란을 공부했다.,G0411,동격 표현",Main Clause | Sub Clause,AutoParsed,generic_concept
L04-14,Main,Thanks to Dorothy," her team members could become programmers.,도로시 덕분에 그녀의 팀원들은 프로그래머가 될 수 있었다.,G0412",G0412,어구 표현,Thanks to + N,하,70,Thanks | to Dorothy," her team members could become programmers.,도로시 | 덕분에 그녀의 팀원들은 프로그래머가 될 수 있었다.,G0412",Main Clause | Sub Clause,AutoParsed,generic_concept
L04-15,Main,That’s what I need to learn from her.,그것이 내가 그녀로부터 배워야 할 점이다.,G0410,관계대명사 what,what + S + V,상,70,That’s what I need | to learn from her.,그것이 내가 그녀로부터 | 배워야 할 점이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
