id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L07-01,Listening,I study English, listening to music.,나는 음악을 들으면서 영어를 공부한다.,G0701,분사구문,S + V, V-ing,"['중', '132']",I | study English, listening | to music.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-02,Main,Feeling tired, I went to bed early.,피곤함을 느껴서 나는 일찍 잠자리에 들었다.,G0703,분사구문,V-ing, S + V,"['상', '145']",Feeling | tired, I went | to bed early.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-003,Reading,"The next morning, I saw a flying car developed by my friend.","다음 날 아침, 나는 내 친구에 의해 개발된 비행 자동차를 보았습니다.",G0703,분사구문 / 조동사 수동태,V-ing / will be + p.p.,상,145-148,,"The next morning, I saw a | flying car developed by my friend.","다음 날 아침, 나는 내 | 친구에 의해 개발된 비행 자동차를 보았습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L07-004,Reading,It will be released in the near future.,그것은 가까운 미래에 출시될 것입니다.,G0703,분사구문 / 조동사 수동태,V-ing / will be + p.p.,상,145-148,,It will be released | in the near future.,그것은 가까운 | 미래에 출시될 것입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-005,Extra/Extracted,Then can you do me a favor?,그럼 나한테 부탁 하나 들어줄래?,,조동사,Modal + V,중,135,,Then can you | do me a favor?,그럼 나한테 | 부탁 하나 들어줄래?,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-006,Extra/Extracted,Get Ready -JTUFOCommunicate: ׮Dialog Script 7.2 +Question What will Sora say to her grandma?,준비하세요 -JTUFOCommunicate: ׮Dialog Script 7.2 +질문 소라가 할머니에게 뭐라고 말할까요?,,to부정사 / 의문사 구문,to + V / Wh-word,중,135,,Get Ready -JTUFOCommunicate: ׮Dialog Script 7.2 +Question | What will Sora say to her grandma?,준비하세요 -JTUFOCommunicate: ׮Dialog Script 7.2 | +질문 소라가 할머니에게 뭐라고 말할까요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-007,Extra/Extracted,"Grandma, you should because a(n) is coming.","할머니, a(n)이 오시니까 그래야 해요.",,이유의 접속사 / 조동사,Because/Since + S + V / Modal + V,중,135,,"Grandma, you should | because a(n) is coming.","할머니, a(n)이 | 오시니까 그래야 해요.",Main Clause | Sub Clause,AutoParsed,generic_concept
L07-008,Extra/Extracted,Make sure you take off your shoes before entering the room.,방에 들어가기 전에는 반드시 신발을 벗으세요.,,시간의 접속사 / 현재분사/동명사,When/While + S + V / V-ing,중,135,,Make sure you take off | your shoes before entering the room.,방에 들어가기 전에는 | 반드시 신발을 벗으세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-009,Extra/Extracted,↟Typhoon Doni is moving east.,↟태풍 도니가 동쪽으로 이동하고 있습니다.,,현재분사/동명사,V-ing,중,135,,↟Typhoon Doni | is moving east.,↟태풍 도니가 | 동쪽으로 이동하고 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-010,Extra/Extracted,T F ↟Typhoon Doni will come with heavy rainfall and strong winds.,T F ↟태풍 도니는 많은 비와 강풍을 동반하겠습니다.,,조동사,Modal + V,중,,,T F ↟Typhoon Doni will come | with heavy rainfall and strong winds.,T F ↟태풍 도니는 | 많은 비와 강풍을 동반하겠습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-011,Extra/Extracted,I had a sandwich and tomato soup for lunch.,나는 점심으로 샌드위치와 토마토 수프를 먹었습니다.,,일반 문장,-,중,136,,I had a sandwich | and tomato soup for lunch.,나는 점심으로 샌드위치와 | 토마토 수프를 먹었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
