id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L08-01,Listening,She must have been hungry.,그녀는 배가 고팠음이 틀림없다.,G0801,과거 추측(must have pp),must have + p.p.,중,152,She must | have been hungry.,그녀는 배가 | 고팠음이 틀림없다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-02,Listening,I should have studied harder.,나는 공부를 더 열심히 했어야 했다.,G0802,과거 후회(should have pp),should have + p.p.,하,154,I should | have studied harder.,나는 공부를 더 | 열심히 했어야 했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-003,Reading,I should have given her some food.,내가 그녀에게 음식을 좀 줬어야 했습니다.,G0801,과거 추측 / 과거 후회 / 계속적 관계대명사,must have pp / should have pp / , which,상,I should have | given her some food.,내가 그녀에게 음식을 | 좀 줬어야 했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-004,Reading,"I’ll visit her house, which is near the park.",나는 공원 근처에 있는 그녀의 집을 방문할 것입니다.,G0801,과거 추측 / 과거 후회 / 계속적 관계대명사,must have pp / should have pp / , which,상,"I’ll visit her house, | which is near the park.",나는 공원 근처에 있는 | 그녀의 집을 방문할 것입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-005,Extra/Extracted,I hope I can live by the sea.,나는 바다에서 살 수 있기를 바랍니다.,,조동사,Modal + V,중,152,I hope I can | live by the sea.,나는 바다에서 살 | 수 있기를 바랍니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-006,Extra/Extracted,I want to be a hair designer.,저는 헤어 디자이너가 되고 싶어요.,,to부정사 / 비교급,to + V / Comparative,중,152,I want to | be a hair designer.,저는 헤어 | 디자이너가 되고 싶어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-007,Extra/Extracted,I want to have an apple farm.,나는 사과 농장을 갖고 싶다.,,to부정사 / 사역동사,to + V / make/have/let + O + V,중,152,I want to | have an apple farm.,나는 사과 | 농장을 갖고 싶다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-008,Extra/Extracted,That’s not quite right.,그것은 옳지 않습니다.,,접속사/관계대명사 that,that + S + V / N + that,중,170,That’s not | quite right.,그것은 | 옳지 않습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-009,Extra/Extracted,We need 101 candles.,101개의 양초가 필요해요.,,일반 문장,-,중,153,We need | 101 candles.,101개의 | 양초가 필요해요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-010,Extra/Extracted,Listen and Answer ׮Dialog 1 Script 8.1 I should have We should have ....,듣고 대답하기 ׮Dialog 1 스크립트 8.1 나는 가져야만 합니다 우리는 ....,,조동사 / 비교급,Modal + V / Comparative,중,190,Listen and Answer ׮Dialog 1 Script 8.1 | I should have We should have ....,듣고 대답하기 ׮Dialog 1 스크립트 | 8.1 나는 가져야만 합니다 우리는 ....,Main Clause | Sub Clause,AutoParsed,generic_concept
