id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L07-01,Listening,How do you feel about this drama?,이 드라마에 대해 어떻게 생각하니?,G0701,의견 묻기,How do you feel about + N?,하,123,How do you | feel about this drama?,이 드라마에 | 대해 어떻게 생각하니?,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-02,Listening,I think it looks touching.,내 생각엔 감동적인 것 같아.,G0702,의견 말하기(감각동사),I think it looks + ADJ,하,123,I think | it looks touching.,내 생각엔 | 감동적인 것 같아.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-03,Listening,I don’t agree with you. It looks boring.,난 네 의견에 동의하지 않아. 지루해 보여.,G0703,반대하기,I don't agree (with you),하,124,I don’t agree with | you. It looks boring.,난 네 의견에 | 동의하지 않아. 지루해 보여.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-04,Listening,I think it’s great. It shows the phone is strong.,그거 멋진 것 같아. 전화기가 튼튼하다는 걸 보여주잖아.,G0702,의견 말하기,I think it's ...,하,124,I think it’s great. It | shows the phone is strong.,그거 멋진 것 같아. | 전화기가 튼튼하다는 걸 보여주잖아.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-05,Listening,How do you feel about Big Mouth’s Show?,빅 마우스 쇼에 대해 어떻게 생각하니?,G0701,의견 묻기,How do you feel about + N?,하,125,How do you feel | about Big Mouth’s Show?,빅 마우스 쇼에 | 대해 어떻게 생각하니?,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-06,Listening,I don’t think he’s lying. It’s a great photo.,난 그가 거짓말을 하고 있다고 생각지 않아. 멋진 사진이야.,G0704,부정적 의견/추측,I don't think ... ,중,125,I don’t think he’s | lying. It’s a great photo.,난 그가 거짓말을 하고 | 있다고 생각지 않아. 멋진 사진이야.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-07,Listening,An octopus can’t live out of the sea.,문어는 바다 밖에서 살 수 없어.,G0705,강한 부정적 추측,can't + V,하,125,An octopus can’t live | out of the sea.,문어는 바다 밖에서 | 살 수 없어.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-08,Main,"The stories were actually made by teenagers, not by major newspapers.",그 이야기들은 주요 신문사가 아니라 사실은 십 대들에 의해 만들어졌다.,G0706,수동태,be made by,중,127,"The stories were actually made | by teenagers, not by major newspapers.",그 이야기들은 주요 신문사가 아니라 | 사실은 십 대들에 의해 만들어졌다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-09,Main,The story turned out to be a complete lie.,그 이야기는 완전한 거짓말로 드러났다.,G0707,어구 표현,turn out to be,중,127,The story turned out | to be a complete lie.,그 이야기는 | 완전한 거짓말로 드러났다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L07-10,Main,It’s really important to look at the right sources and to pay attention to what is real.,올바른 출처를 보고 무엇이 진짜인지 주의를 기울이는 것이 정말 중요하다.,G0708,가주어 it / 어구,It is important to ...,중,128,It’s really important to look at the right | sources and to pay attention to what is real.,올바른 출처를 보고 무엇이 진짜인지 | 주의를 기울이는 것이 정말 중요하다.,Main Clause | Sub Clause,AutoParsed,generic_concept
