id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L05-01,Listening,I’m curious about sign language. What does it mean?,나는 수화에 대해 궁금해. 그것은 무엇을 의미하니?,G0501,관심 표현 및 의미 묻기,I'm curious about / What does it mean?,하,88,I’m curious about sign | language. What does it mean?,나는 수화에 대해 | 궁금해. 그것은 무엇을 의미하니?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-02,Listening,It means “Hello”.,그것은 “안녕”을 의미해.,G0502,의미 설명하기,It means ...,하,88,It | means “Hello”.,그것은 | “안녕”을 의미해.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-03,Listening,What does this sign mean? It means you must not ride a bike here.,이 표지판은 무엇을 의미하니? 여기서 자전거를 타면 안 된다는 뜻이야.,G0503,의미 묻기 및 금지하기,What does ... mean? / you must not ...,하,88,What does this sign mean? It means | you must not ride a bike here.,이 표지판은 무엇을 의미하니? 여기서 | 자전거를 타면 안 된다는 뜻이야.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-04,Listening,This house is famous for having thousands of secrets in it.,이 집은 수천 개의 비밀을 간직하고 있는 것으로 유명하다.,G0504,어구 표현,be famous for V-ing,하,89,This house is famous for | having thousands of secrets in it.,이 집은 수천 개의 | 비밀을 간직하고 있는 것으로 유명하다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-05,Main,Speaking to family in a foreign country is rather easy and simple today.,오늘날 외국에 있는 가족에게 말하는 것은 꽤 쉽고 간단하다.,G0505,동명사 주어,Speaking to ... is ...,하,91,Speaking to family in a foreign | country is rather easy and simple today.,오늘날 외국에 있는 가족에게 | 말하는 것은 꽤 쉽고 간단하다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-06,Main,"At the time, more than 5% of the people in Italy could not read or write.",당시에 이탈리아 인구의 5% 이상이 읽거나 쓸 줄 몰랐다.,G0506,수량 표현,more than 5%,하,91,"At the time, more than 5% of the | people in Italy could not read or write.",당시에 이탈리아 인구의 5% | 이상이 읽거나 쓸 줄 몰랐다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-07,Main,My dear love," I miss you so much, and I reach my arms out toward you.,사랑하는 당신, 당신이 정말 보고 싶어서 당신을 향해 팔을 뻗어 봅니다.,G0507",G0507,감정 표현,miss you / reach out toward,하,92,My | dear love," I miss you so much, and I reach my arms out | toward you.,사랑하는 당신, 당신이 정말 보고 싶어서 당신을 향해 팔을 뻗어 봅니다.,G0507",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-08,Main,If I got a letter from you," I would be very happy.,당신에게서 편지를 받는다면 정말 행복할 거예요.,G0508,가정법 과거",가정법 과거,If + S + 과거동사, S + would + V,상,92,If I got | a letter from you," I would be very happy.,당신에게서 | 편지를 받는다면 정말 행복할 거예요.,G0508,가정법 과거",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-09,Main,Your mother fell ill and I’m going to visit her in the hospital.,당신의 어머니께서 병환이 나셔서 제가 병원에 면회를 가려고 합니다.,G0509,어구 표현,fall ill / visit in the hospital,하,92,Your mother fell ill and I’m | going to visit her in the hospital.,당신의 어머니께서 병환이 나셔서 | 제가 병원에 면회를 가려고 합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-10,Main,I’ll go there with our middle son while the oldest looks after the youngest.,첫째가 막내를 돌보는 동안 나는 둘째 아들과 그곳에 가겠습니다.,G0510,시간의 접속사 while,while + S + V,중,92,I’ll go there with our middle son | while the oldest looks after the youngest.,첫째가 막내를 돌보는 동안 | 나는 둘째 아들과 그곳에 가겠습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
