id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L03-01,Listening,I’ve been waiting for you since 2 o’clock.,나는 2시부터 너를 쭉 기다리고 있어.,G0301,현재완료 진행형,have been + V-ing,중,52,I’ve been waiting for | you since 2 o’clock.,나는 2시부터 너를 | 쭉 기다리고 있어.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-02,Main,I have been wondering about this for a long time.,나는 오랫동안 이것에 대해 궁금해하고 있어.,G0304,현재완료 진행형,have been + V-ing,중,60,I have been wondering about | this for a long time.,나는 오랫동안 이것에 | 대해 궁금해하고 있어.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-03,Main,She was so busy that she forgot the meeting.,그녀는 너무 바빠서 회의를 잊어버렸다.,G0305,so ~ that 구문,so + ADJ + that + S + V,중,64,She was so busy | that she forgot the meeting.,그녀는 너무 | 바빠서 회의를 잊어버렸다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-04,Reading,I have been collecting old stamps for three years.,나는 3년 동안 오래된 우표를 수집해 오고 있다.,G0307,현재완료 진행형,have been + V-ing,상,75,I have been collecting | old stamps for three years.,나는 3년 동안 오래된 | 우표를 수집해 오고 있다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-05,Reading,The cake was so delicious that we ate it all.,그 케이크는 너무 맛있어서 우리는 그것을 다 먹었다.,G0308,so ~ that 구문,so + ADJ + that + S + V,하,78,The cake was so delicious | that we ate it all.,그 케이크는 너무 맛있어서 | 우리는 그것을 다 먹었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-006,Reading,My hobby is so interesting that I spend most of my free time on it.,나의 취미는 너무 재미있어서 나는 자유 시간의 대부분을 그것에 씁니다.,G0307,현재완료 진행형 / so ~ that 구문,have been + V-ing / so ~ that,중,75-80,My hobby is so interesting that I | spend most of my free time on it.,나의 취미는 너무 재미있어서 나는 | 자유 시간의 대부분을 그것에 씁니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-007,Extra/Extracted,"It helped me , try harder, and improve my ׮Dialog Script 3.2 I think it’s going to be a boring talk show.","그것은 나에게 도움이 되었고, 더 열심히 노력하고 ׮Dialog Script 3.2를 개선하는 데 도움이 되었습니다. 지루한 토크쇼가 될 것 같습니다.",,to부정사 / 현재분사/동명사,to + V / V-ing,중,53,"It helped me , try harder, and improve my ׮Dialog Script | 3.2 I think it’s going to be a boring talk show.","그것은 나에게 도움이 되었고, 더 열심히 노력하고 ׮Dialog Script | 3.2를 개선하는 데 도움이 되었습니다. 지루한 토크쇼가 될 것 같습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-008,Extra/Extracted,What makes you say so?,왜 그렇게 말합니까?,,의문사 구문,Wh-word,중,,What makes | you say so?,왜 | 그렇게 말합니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-009,Extra/Extracted,Listen and Answer Causes  of  Teen Schoolwork    50.5% Family             11.4%Future             11.3% Appearance  8.2% Other               3.3% I’d like to talk about true friendship.,십대 학업의 원인을 듣고 답하기 50.5% 가족 11.4% 미래 11.3% 외모 8.2% 기타 3.3% 진정한 우정에 대해 이야기하고 싶습니다.,,to부정사 / 비교급,to + V / Comparative,중,53,Listen and Answer Causes  of  Teen Schoolwork    50.5% Family             11.4%Future       |       11.3% Appearance  8.2% Other               3.3% I’d like to talk about true friendship.,십대 학업의 원인을 듣고 답하기 50.5% 가족 11.4% 미래 | 11.3% 외모 8.2% 기타 3.3% 진정한 우정에 대해 이야기하고 싶습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-010,Extra/Extracted,"Judy came /f_i  rst, and next came Ben.","Judy가 먼저 /f_i 왔고, 다음으로 Ben이 왔습니다.",,일반 문장,-,중,54,"Judy came /f_i  | rst, and next came Ben.","Judy가 먼저 /f_i | 왔고, 다음으로 Ben이 왔습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-011,Extra/Extracted,I did my best and took second place in the contest.,나는 최선을 다해 대회에서 2위를 차지했다.,,최상급,Superlative,중,54,I did my best and | took second place in the contest.,나는 최선을 다해 | 대회에서 2위를 차지했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-012,Extra/Extracted,"B Oh, I have sleeping problems at night.","B 아, 밤에 잠을 잘 못 자요.",,현재분사/동명사 / 사역동사,V-ing / make/have/let + O + V,중,55,"B Oh, I have | sleeping problems at night.","B 아, 밤에 | 잠을 잘 못 자요.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-013,Extra/Extracted,A I’d like to talk about Spanish art.,A 스페인 미술에 대해 이야기하고 싶습니다.,,to부정사,to + V,중,53,A I’d like to | talk about Spanish art.,A 스페인 미술에 | 대해 이야기하고 싶습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-014,Extra/Extracted,I’ d Like to Talk About Frida Kahlo Get ready.,프리다 칼로에 대해 이야기하고 싶습니다. 준비하세요.,,to부정사,to + V,중,53,I’ d Like to Talk | About Frida Kahlo Get ready.,프리다 칼로에 대해 | 이야기하고 싶습니다. 준비하세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-015,Extra/Extracted,"Today, I’d like to talk about Frida Kahlo.",오늘은 프리다 칼로(Frida Kahlo)에 대해 이야기하고 싶습니다.,,to부정사,to + V,중,53,"Today, I’d like to | talk about Frida Kahlo.",오늘은 프리다 칼로(Frida | Kahlo)에 대해 이야기하고 싶습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-016,Extra/Extracted,She was a Mexican painter.,그녀는 멕시코 화가였습니다.,,비교급,Comparative,중,55,She was | a Mexican painter.,그녀는 | 멕시코 화가였습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-017,Extra/Extracted,One of her most well-known paintings is Viva la Vida .,그녀의 가장 잘 알려진 그림 중 하나는 Viva la Vida입니다.,,비교급 / 최상급,Comparative / Superlative,중,55,One of her most well-known | paintings is Viva la Vida .,그녀의 가장 잘 알려진 그림 | 중 하나는 Viva la Vida입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-018,Extra/Extracted,׮2 I want t o spend more time on social media.,׮2 나는 소셜 미디어에 더 많은 시간을 보내고 싶습니다.,,비교급,Comparative,중,56,׮2 I want t o | spend more time on social media.,׮2 나는 소셜 미디어에 | 더 많은 시간을 보내고 싶습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-019,Extra/Extracted,I can make more friends from around the world.,나는 전 세계에서 더 많은 친구를 사귈 수 있습니다.,,조동사 / 비교급,Modal + V / Comparative,중,56,I can make more | friends from around the world.,나는 전 세계에서 더 | 많은 친구를 사귈 수 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-020,Extra/Extracted,A I think a left-handed hitter should be at bat.,A 왼손타자는 타석에 쳐야 한다고 생각한다.,,조동사 / 비교급,Modal + V / Comparative,중,56,A I think a left-handed | hitter should be at bat.,A 왼손타자는 타석에 | 쳐야 한다고 생각한다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-021,Extra/Extracted,B What makes you say that?,B 왜 그렇게 말해요?,,접속사/관계대명사 that / 의문사 구문,that + S + V / N + that / Wh-word,중,56,B What makes | you say that?,B 왜 | 그렇게 말해요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-022,Extra/Extracted,A I don’t think it’s a good dance show.,A 좋은 댄스쇼는 아닌 것 같아요.,,일반 문장,-,중,56,A I don’t think | it’s a good dance show.,A 좋은 댄스쇼는 | 아닌 것 같아요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-023,Extra/Extracted,B What makes you think so?,B 왜 그렇게 생각하니?,,의문사 구문,Wh-word,중,56,B What makes | you think so?,B 왜 | 그렇게 생각하니?,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-024,Extra/Extracted,I want to spend more / less time on social media.,나는 소셜 미디어에 더 많은 시간을 보내고 싶다/더 적은 시간을 보내고 싶다.,,to부정사 / 비교급,to + V / Comparative,중,56,I want to spend more | / less time on social media.,나는 소셜 미디어에 더 많은 시간을 | 보내고 싶다/더 적은 시간을 보내고 싶다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-025,Extra/Extracted,Working on a team can be diﬃ   cult / helpful.,팀으로 일하는 것은 어려울 수도 있고 도움이 될 수도 있습니다.,,조동사 / 현재분사/동명사,Modal + V / V-ing,중,56,Working on a team can be | diﬃ   cult / helpful.,팀으로 일하는 것은 어려울 수도 | 있고 도움이 될 수도 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-026,Extra/Extracted,I like watching / playing sports better.,나는 스포츠를 보는 것/하는 것을 더 좋아합니다.,,현재분사/동명사 / 비교급,V-ing / Comparative,중,56,I like watching | / playing sports better.,나는 스포츠를 보는 | 것/하는 것을 더 좋아합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-027,Extra/Extracted,Having a part-time job as a teen can be good / bad .,십대 때 아르바이트를 하는 것은 좋을 수도 있고 나쁠 수도 있습니다.,,이유의 접속사 / 조동사,Because/Since + S + V / Modal + V,중,56,Having a part-time job as a | teen can be good / bad .,십대 때 아르바이트를 하는 것은 | 좋을 수도 있고 나쁠 수도 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-028,Extra/Extracted,"First, it‛s good to take deep breaths.","먼저, 심호흡을 하는 것이 좋습니다.",,to부정사,to + V,중,57,"First, it‛s good | to take deep breaths.","먼저, 심호흡을 | 하는 것이 좋습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-029,Extra/Extracted,"Second, counting to ten is a great idea.","둘째, 10까지 세는 것은 좋은 생각입니다.",,to부정사 / 현재분사/동명사,to + V / V-ing,중,,"Second, counting to ten | is a great idea.","둘째, 10까지 세는 | 것은 좋은 생각입니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-030,Extra/Extracted,"Also, drinking cold water helps.",또한 찬물을 마시는 것도 도움이 됩니다.,,현재분사/동명사 / 비교급,V-ing / Comparative,중,57,"Also, drinking | cold water helps.",또한 찬물을 마시는 | 것도 도움이 됩니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-031,Extra/Extracted,"Lastly, thinking happy thoughts can help.","마지막으로, 행복한 생각을 하는 것이 도움이 될 수 있습니다.",,조동사 / 현재분사/동명사,Modal + V / V-ing,중,57,"Lastly, thinking happy | thoughts can help.","마지막으로, 행복한 생각을 하는 | 것이 도움이 될 수 있습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-032,Extra/Extracted,Present and share.׮ Step Look and think.׮Step I get upset easily.,발표하고 공유하십시오. ׮ 단계 보고 생각하십시오. 나는 쉽게 화를 냅니다.,,일반 문장,-,중,57,Present and share.׮ Step Look | and think.׮Step I get upset easily.,발표하고 공유하십시오. ׮ 단계 보고 | 생각하십시오. 나는 쉽게 화를 냅니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-033,Extra/Extracted,Do you have any advice?,조언이 있나요?,,사역동사,make/have/let + O + V,중,57,Do you | have any advice?,조언이 | 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-034,Extra/Extracted,Give advice.׮Step I get so nervous in front of other people.,조언을 해주세요. ׮Step 나는 다른 사람들 앞에서 너무 긴장합니다.,,비교급,Comparative,중,57,Give advice.׮Step I get so | nervous in front of other people.,조언을 해주세요. ׮Step 나는 | 다른 사람들 앞에서 너무 긴장합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-035,Extra/Extracted,I often forget to do my homework.,나는 종종 숙제를 하는 것을 잊어버린다.,,to부정사,to + V,중,57,I often forget | to do my homework.,나는 종종 숙제를 | 하는 것을 잊어버린다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-036,Extra/Extracted,Studying for tests makes me sleepy.,시험공부를 하다보니 졸리네요.,,현재분사/동명사,V-ing,중,57,Studying for tests | makes me sleepy.,시험공부를 | 하다보니 졸리네요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-037,Extra/Extracted,W e can have free pizza.,우리는 무료로 피자를 먹을 수 있어요.,,조동사 / 사역동사,Modal + V / make/have/let + O + V,중,58,W e can | have free pizza.,우리는 무료로 피자를 | 먹을 수 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-038,Extra/Extracted,We have nothing to eat.,우리는 먹을 것이 없습니다.,,to부정사 / 현재분사/동명사,to + V / V-ing,중,58,We have | nothing to eat.,우리는 먹을 | 것이 없습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-039,Extra/Extracted,This is a very gloomygloomygloomygloomygloomygloomygloomygloomygloomygloomygloomygloomygloomy  situation.,이것은 매우 우울한 우울한 우울한 우울한 우울한 우울한 우울한 우울한 우울한 우울한 우울한 우울한 상황입니다.,,일반 문장,-,중,58,This is a | very gloomygloomygloomygloomygloomygloomygloomygloomygloomygloomygloomygloomygloomy  situation.,이것은 매우 우울한 우울한 우울한 우울한 우울한 | 우울한 우울한 우울한 우울한 우울한 우울한 우울한 상황입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-040,Extra/Extracted,What's botheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbothering  you?,무슨 일이냐?,,의문사 구문 / 현재분사/동명사,Wh-word / V-ing,중,58,What's botheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbotheringbothering |  you?,무슨 | 일이냐?,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-041,Extra/Extracted,Let's be patientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatient  and wait for our food.,환자환자환자환자환자환자환자환자환자환자환자환자를 참으며 우리 음식을 기다리자.,,일반 문장,-,중,58,Let's be patientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatientpatient  | and wait for our food.,환자환자환자환자환자환자환자환자환자환자환자환자를 참으며 | 우리 음식을 기다리자.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-042,Extra/Extracted,I'm so relievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelieved .,I'm so relievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelieved .,,일반 문장,-,중,58,I'm so | relievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelieved .,I'm so | relievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelievedrelieved .,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-043,Extra/Extracted,Others eat special foods to feel better.,다른 사람들은 기분이 좋아지기 위해 특별한 음식을 먹습니다.,,to부정사 / 비교급,to + V / Comparative,중,,Others eat special | foods to feel better.,다른 사람들은 기분이 좋아지기 | 위해 특별한 음식을 먹습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-044,Extra/Extracted,Still others simply sleep for a while.,또 다른 사람들은 단지 잠시 잠을 자고 있을 뿐입니다.,,시간의 접속사,When/While + S + V,중,59,Still others simply | sleep for a while.,또 다른 사람들은 단지 | 잠시 잠을 자고 있을 뿐입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-045,Extra/Extracted,How do you deal with stress?,스트레스에 어떻게 대처하시나요?,,의문사 구문,Wh-word,중,,How do you | deal with stress?,스트레스에 | 어떻게 대처하시나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-046,Extra/Extracted,Here are some stories about people who suggest diﬀ  erent ways.,다음은 다양한 방법을 제안하는 사람들에 관한 몇 가지 이야기입니다.,,관계대명사 / 최상급,Relative Pronoun / Superlative,중,59,Here are some stories about people | who suggest diﬀ  erent ways.,다음은 다양한 방법을 제안하는 | 사람들에 관한 몇 가지 이야기입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-047,Extra/Extracted,"Mina (15, Daejeon) Sometimes my friends give me stress by saying bad things about me, breaking promises, or arguing over small things.","미나 (15, 대전) 가끔 친구들이 나에 대해 나쁜 말을 하거나, 약속을 어기거나, 사소한 일로 말다툼을 해서 스트레스를 줍니다.",,현재분사/동명사 / 비교급,V-ing / Comparative,중,59,"Mina (15, Daejeon) Sometimes my friends give me stress by saying | bad things about me, breaking promises, or arguing over small things.","미나 (15, 대전) 가끔 친구들이 나에 대해 나쁜 말을 | 하거나, 약속을 어기거나, 사소한 일로 말다툼을 해서 스트레스를 줍니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-048,Extra/Extracted,"When this happens, I watch horror movies!",이럴 땐 공포영화를 봐요!,,시간의 접속사 / 지각동사,When/While + S + V / see/hear + O + V(ing),중,,"When this happens, | I watch horror movies!",이럴 땐 | 공포영화를 봐요!,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-049,Extra/Extracted,Good horror movies are so scary that I scream a lot.,좋은 공포영화는 너무 무서워서 소리를 많이 질러요.,,접속사/관계대명사 that,that + S + V / N + that,중,59,Good horror movies are so | scary that I scream a lot.,좋은 공포영화는 너무 | 무서워서 소리를 많이 질러요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-050,Extra/Extracted,I guess that screaming at the top of my lungs helps me feel better.,목구멍까지 비명을 지르면 기분이 좋아지는 것 같아요.,,접속사/관계대명사 that / 현재분사/동명사,that + S + V / N + that / V-ing,중,59,I guess that screaming at the top | of my lungs helps me feel better.,목구멍까지 비명을 지르면 | 기분이 좋아지는 것 같아요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-051,Extra/Extracted,"Also, thanks to scary scenes and sound effects, I can forget about what bothers me.","또한, 무서운 장면과 음향 효과 덕분에 나를 괴롭히는 것들을 잊어버릴 수 있습니다.",,to부정사 / 의문사 구문,to + V / Wh-word,중,59,"Also, thanks to scary scenes and sound | effects, I can forget about what bothers me.","또한, 무서운 장면과 음향 효과 덕분에 | 나를 괴롭히는 것들을 잊어버릴 수 있습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-052,Extra/Extracted,"I’ve been using this method for the past several months, and it really works.",나는 지난 몇 달 동안 이 방법을 사용해 왔고 정말 효과가 있었습니다.,,현재분사/동명사,V-ing,중,59,"I’ve been using this method for the | past several months, and it really works.",나는 지난 몇 달 동안 이 | 방법을 사용해 왔고 정말 효과가 있었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-053,Extra/Extracted,"Junho (14, Yeosu) My uncle graduated from college two years ago.","준호 (14, 여수) 삼촌은 2년 전에 대학을 졸업했어요.",,일반 문장,-,중,60,"Junho (14, Yeosu) My uncle | graduated from college two years ago.","준호 (14, 여수) 삼촌은 | 2년 전에 대학을 졸업했어요.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-054,Extra/Extracted,"He lives with my family, and he’s been looking for a job for some time.",그는 우리 가족과 함께 살고 있으며 한동안 일자리를 찾고 있습니다.,,현재분사/동명사,V-ing,중,,"He lives with my family, and he’s | been looking for a job for some time.",그는 우리 가족과 함께 살고 | 있으며 한동안 일자리를 찾고 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-055,Extra/Extracted,"I know that he’s stressed out, but he always tries to be positive by going fishing.","스트레스를 많이 받고 있는 건 알지만, 항상 낚시를 하면서 긍정적인 마음을 가지려고 노력해요.",,to부정사 / 접속사/관계대명사 that,to + V / that + S + V / N + that,중,63,"I know that he’s stressed out, but he | always tries to be positive by going fishing.","스트레스를 많이 받고 있는 건 알지만, | 항상 낚시를 하면서 긍정적인 마음을 가지려고 노력해요.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-056,Extra/Extracted,He never gets upset when he doesn’t catch any /f_i  sh.,그는 /f_i sh를 하나도 잡지 못해도 결코 화를 내지 않습니다.,,시간의 접속사 / 비교급,When/While + S + V / Comparative,중,63,He never gets upset when he | doesn’t catch any /f_i  sh.,그는 /f_i sh를 하나도 잡지 | 못해도 결코 화를 내지 않습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-057,Extra/Extracted,"He says, “While I /f_i  sh, I’m so focused that I can leave all my worries behind.",그는 “/f_i sh하는 동안 나는 모든 걱정을 떨쳐버릴 수 있을 정도로 집중하고 있습니다.,,시간의 접속사 / 접속사/관계대명사 that,When/While + S + V / that + S + V / N + that,중,,"He says, “While I /f_i  sh, I’m so | focused that I can leave all my worries behind.",그는 “/f_i sh하는 동안 나는 모든 | 걱정을 떨쳐버릴 수 있을 정도로 집중하고 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-058,Extra/Extracted,"Besides, it teaches me to be patient.",게다가 그것은 나에게 인내심을 가르쳐 줍니다.,,to부정사,to + V,중,60,"Besides, it teaches | me to be patient.",게다가 그것은 나에게 | 인내심을 가르쳐 줍니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-059,Extra/Extracted,” I’m sure that focusing on one thing helps us forget about something else.,”한 가지에 집중하면 다른 것을 잊는 데 도움이 된다고 확신합니다.,,접속사/관계대명사 that / 현재분사/동명사,that + S + V / N + that / V-ing,중,60,” I’m sure that focusing on one | thing helps us forget about something else.,”한 가지에 집중하면 다른 것을 | 잊는 데 도움이 된다고 확신합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-060,Extra/Extracted,"He lives with my family, and My uncle graduated from college two years ago.","그는 우리 가족과 함께 살고 있고, 나의 삼촌은 2년 전에 대학을 졸업했습니다.",,일반 문장,-,중,,"He lives with my family, and My | uncle graduated from college two years ago.","그는 우리 가족과 함께 살고 있고, | 나의 삼촌은 2년 전에 대학을 졸업했습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-061,Extra/Extracted,"(T / F) Dobin (16, Seoul) My sister, a second-year student in high school, has a wonderful way to stay free from stress.","(T/F) 도빈(16, 서울) 고등학교 2학년인 언니는 스트레스를 받지 않는 멋진 방법을 가지고 있다.",,to부정사 / 비교급,to + V / Comparative,중,61,"(T / F) Dobin (16, Seoul) My sister, a second-year student | in high school, has a wonderful way to stay free from stress.","(T/F) 도빈(16, 서울) 고등학교 2학년인 언니는 | 스트레스를 받지 않는 멋진 방법을 가지고 있다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-062,Extra/Extracted,"She feels a lot of stress from schoolwork, but my mother seems to like the situation for a good reason.","학업으로 인해 스트레스를 많이 받는 편인데, 어머니는 그 상황을 좋아하시는 데에는 다 이유가 있는 것 같습니다.",,to부정사 / 비교급,to + V / Comparative,중,,"She feels a lot of stress from schoolwork, but my | mother seems to like the situation for a good reason.","학업으로 인해 스트레스를 많이 받는 편인데, 어머니는 그 | 상황을 좋아하시는 데에는 다 이유가 있는 것 같습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-063,Extra/Extracted,It is because cleaning is my sister’s number-one way to make life better!,왜냐하면 청소는 내 동생의 삶을 더 좋게 만드는 최고의 방법이기 때문입니다!,,이유의 접속사 / to부정사,Because/Since + S + V / to + V,중,,It is because cleaning is my | sister’s number-one way to make life better!,왜냐하면 청소는 내 동생의 삶을 | 더 좋게 만드는 최고의 방법이기 때문입니다!,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L03-064,Extra/Extracted,"When she’s so stressed that her life looks gloomy, she cleans her room.",스트레스가 너무 많아서 생활이 우울해 보일 때면 방을 청소한다.,,시간의 접속사 / 접속사/관계대명사 that,When/While + S + V / that + S + V / N + that,중,,"When she’s so stressed that her | life looks gloomy, she cleans her room.",스트레스가 너무 많아서 생활이 | 우울해 보일 때면 방을 청소한다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L03-065,Extra/Extracted,"She says, “As I clean my room, I feel like I’m also relieving stress.",그녀는 “방을 청소하다 보면 스트레스도 풀리는 것 같다.,,이유의 접속사 / 현재분사/동명사,Because/Since + S + V / V-ing,중,63,"She says, “As I clean my room, | I feel like I’m also relieving stress.",그녀는 “방을 청소하다 보면 | 스트레스도 풀리는 것 같다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-066,Extra/Extracted,"When my room looks tidy, my life looks brighter.",내 방이 깔끔해지면 내 삶이 더 밝아 보입니다.,,시간의 접속사 / 비교급,When/While + S + V / Comparative,중,61,"When my room looks | tidy, my life looks brighter.",내 방이 깔끔해지면 내 | 삶이 더 밝아 보입니다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L03-067,Extra/Extracted,She feels stressed by all the things she has to do at work and at home.,그녀는 직장과 집에서 해야 할 모든 일로 인해 스트레스를 받습니다.,,to부정사,to + V,중,,She feels stressed by all the things she | has to do at work and at home.,그녀는 직장과 집에서 해야 할 | 모든 일로 인해 스트레스를 받습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
