id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L06-01,Listening,It is important for us to protect nature.,우리가 자연을 보호하는 것은 중요하다.,G0601,to부정사 의미상 주어,It is ADJ + for + O + to-V,하,112,It is important for | us to protect nature.,우리가 자연을 | 보호하는 것은 중요하다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-02,Main,It is important for everyone to value the resources.,모두가 자원을 소중히 여기는 것이 중요하다.,G0603,to부정사 의미상 주어,It is ADJ + for + O + to-V,중,125,It is important for | everyone to value the resources.,모두가 자원을 소중히 | 여기는 것이 중요하다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-003,Reading,"If she had a car, she would drive everywhere.",그녀가 차가 있다면 어디든 운전해서 갈 텐데 말이죠.,G0603,to부정사 의미상 주어 / 가정법 과거,It is for to / If + S + Past,상,125-128,"If she had a | car, she would drive everywhere.",그녀가 차가 있다면 어디든 | 운전해서 갈 텐데 말이죠.,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-004,Reading,They decided to share the grassland fairly.,그들은 초지를 공정하게 공유하기로 결정했습니다.,G0603,to부정사 의미상 주어 / 가정법 과거,It is for to / If + S + Past,상,125-128,They decided to | share the grassland fairly.,그들은 초지를 | 공정하게 공유하기로 결정했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-005,Extra/Extracted,Let’s share my umbrella.,내 우산을 공유하자.,,일반 문장,-,중,112,Let’s share | my umbrella.,내 | 우산을 공유하자.,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-006,Extra/Extracted,Helpers in a Smartphone Class for Kids • Help the teacher with the class • Teaching experience is necessary.,어린이 스마트폰 수업 도우미 • 선생님의 수업을 도와주세요. • 가르치는 경험이 필요합니다.,,현재분사/동명사 / 비교급,V-ing / Comparative,중,113,Helpers in a Smartphone Class for Kids • Help | the teacher with the class • Teaching experience is necessary.,어린이 스마트폰 수업 도우미 • 선생님의 | 수업을 도와주세요. • 가르치는 경험이 필요합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-007,Extra/Extracted,Volunteers Needed Get Ready Do you mind if I sit here?,자원봉사자 필요 준비하세요 제가 여기 앉아도 될까요?,,조건의 접속사,If/Unless + S + V,중,113,Volunteers Needed Get Ready Do | you mind if I sit here?,자원봉사자 필요 준비하세요 | 제가 여기 앉아도 될까요?,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L06-008,Extra/Extracted,׮Dialog 2 Script 6.2 +Question   What will Jimin do right after the dialog?,׮Dialog 2 Script 6.2 +Question 대화가 끝난 후 지민은 무엇을 하게 될까요?,,시간의 접속사 / 의문사 구문,When/While + S + V / Wh-word,중,113,׮Dialog 2 Script 6.2 +Question   | What will Jimin do right after the dialog?,׮Dialog 2 Script 6.2 +Question 대화가 | 끝난 후 지민은 무엇을 하게 될까요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-009,Extra/Extracted,You should help the slow learners with smartphones.,학습이 느린 학습자들에게 스마트폰으로 도움을 주어야 합니다.,,조동사,Modal + V,중,113,You should help the | slow learners with smartphones.,학습이 느린 학습자들에게 | 스마트폰으로 도움을 주어야 합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L06-010,Extra/Extracted,Please be and kind.,친절하고 친절하게 대해주세요.,,일반 문장,-,중,,Please be | and kind.,친절하고 | 친절하게 대해주세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
