id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L03-01,Listening,I’m looking forward to seeing you at the race.,경주에서 너를 보게 되기를 기대하고 있어.,G0301,기대 표현하기,looking forward to V-ing,하,46,I’m looking forward to | seeing you at the race.,경주에서 너를 보게 | 되기를 기대하고 있어.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-02,Listening,I’ll keep my fingers crossed!,행운을 빌게!,G0302,행운 빌어주기,keep one's fingers crossed,하,46,I’ll keep | my fingers crossed!,행운을 | 빌게!,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-03,Listening,I’m really looking forward to the field trip next Tuesday.,다음 주 화요일 현장 학습이 정말 기대돼.,G0301,기구 표현하기,looking forward to + N,하,47,I’m really looking forward to | the field trip next Tuesday.,다음 주 화요일 | 현장 학습이 정말 기대돼.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-04,Listening,Don’t worry. I’m sure you’ll do great.,걱정하지 마. 네가 잘해낼 거라고 확신해.,G0303,확신 표현하기,I'm sure S + V,하,47,Don’t worry. I’m | sure you’ll do great.,걱정하지 마. 네가 | 잘해낼 거라고 확신해.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-05,Listening,He’s bright enough to make us feel happy.,그는 우리를 기분 좋게 만들 정도로 똑똑하다.,G0304,형용사 + enough to,ADJ + enough to + V,중,47,He’s bright enough to | make us feel happy.,그는 우리를 기분 | 좋게 만들 정도로 똑똑하다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-06,Listening,You always make us laugh out loud.,넌 항상 우리를 크게 웃게 해.,G0305,사역동사,make + O + V (원형),하,47,You always make | us laugh out loud.,넌 항상 우리를 | 크게 웃게 해.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-07,Main,"Han Jiwon, a Korean high school student, did research on this topic in 2015.",한국 고등학생인 한지원은 2015년에 이 주제에 대해 연구를 했다.,G0306,과거 시제 / 어구,did research on,하,49,"Han Jiwon, a Korean high school student, | did research on this topic in 2015.",한국 고등학생인 한지원은 2015년에 | 이 주제에 대해 연구를 했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-08,Main,Is this research project good enough to win a Nobel Prize?,이 연구 프로젝트가 노벨상을 받을 만큼 충분히 좋은가?,G0304,형용사 + enough to,ADJ + enough to + V,중,49,Is this research project good | enough to win a Nobel Prize?,이 연구 프로젝트가 노벨상을 | 받을 만큼 충분히 좋은가?,Main Clause | Sub Clause,AutoParsed,generic_concept
L03-09,Main,"The Ig Nobel Prizes are awarded for discoveries that ""first make one laugh and then think.""","이그 노벨상은 ""먼저 사람들을 웃게 하고 그다음 생각하게 만드는"" 발견들에 수여된다.",G0307,수동태 및 주격관계대명사,be awarded for ... that + V,상,49,"The Ig Nobel Prizes are awarded for discoveries | that ""first make one laugh and then think.""","이그 노벨상은 ""먼저 사람들을 웃게 | 하고 그다음 생각하게 만드는"" 발견들에 수여된다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L03-10,Main,"To save money, the Navy made its sailors shout, “Bang!” instead of using real bombs.",돈을 아끼기 위해 해군은 선원들이 실제 폭탄을 사용하는 대신 “뱅!”이라고 외치게 했다.,G0305,사역동사 / 어구,made + O + V / instead of,상,50,"To save money, the Navy made its | sailors shout, “Bang!” instead of using real bombs.",돈을 아끼기 위해 해군은 선원들이 실제 | 폭탄을 사용하는 대신 “뱅!”이라고 외치게 했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
