id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L01-01,Listening,How are you feeling?,기분이 어떠니?,G0101,기분 묻기,How are you feeling?,하,11,How are | you feeling?,기분이 | 어떠니?,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-02,Listening,I’m glad to hear that.,그 말을 들으니 기쁘구나.,G0102,감정의 원인(to부정사),be glad to + V,하,11,I’m glad | to hear that.,그 말을 | 들으니 기쁘구나.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-03,Listening,I’m feeling happy. Today’s lunch is great.,기분이 좋아. 오늘 점심이 아주 맛있거든.,G0102,감정 표현,I'm feeling + ADJ,하,11,I’m feeling happy. | Today’s lunch is great.,기분이 좋아. 오늘 | 점심이 아주 맛있거든.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-04,Listening,I’m sorry to hear that. My friend is sick.,그 소식을 들으니 안타깝구나. 내 친구가 아파서.,G0102,안타까움 표현,I'm sorry to + V,하,11,I’m sorry to hear | that. My friend is sick.,그 소식을 들으니 | 안타깝구나. 내 친구가 아파서.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-05,Listening,Yes. I finally booked four tickets for the VTS concert!,응. 드디어 VTS 콘서트 티켓 4장을 예매했어!,G0104,현재완료 시제,have + p.p.,중,12,Yes. I finally booked four | tickets for the VTS concert!,응. 드디어 VTS | 콘서트 티켓 4장을 예매했어!,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-06,Listening,I’m happier than ever.,어느 때보다 더 기뻐.,G0105,비교급 표현,happier than ever,중,12,I’m happier | than ever.,어느 때보다 | 더 기뻐.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-07,Listening,I’m nervous. I forgot to bring my math homework.,긴장돼. 수학 숙제를 가져오는 걸 잊었어.,G0102,감정 표현,I'm + ADJ (nervous),하,13,I’m nervous. I forgot | to bring my math homework.,긴장돼. 수학 숙제를 | 가져오는 걸 잊었어.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-08,Main,Laughter is human. We laugh out loud when we hear a joke.,웃음은 인간적이다. 우리는 농담을 듣거나 재미있는 것을 볼 때 크게 웃는다.,G0106,시간의 접속사,when + S + V,하,14,Laughter is human. We laugh out | loud when we hear a joke.,웃음은 인간적이다. 우리는 농담을 듣거나 | 재미있는 것을 볼 때 크게 웃는다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-09,Main,“Ha-ha” is a form of written laughter. Everyone knows what it means.,“하하”는 서면 웃음의 한 형태이다. 모든 사람이 그것이 무엇을 의미하는지 안다.,G0107,간접의문문,know + what it means,중,14,“Ha-ha” is a form of written | laughter. Everyone knows what it means.,“하하”는 서면 웃음의 한 형태이다. | 모든 사람이 그것이 무엇을 의미하는지 안다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-10,Main,Another form of written laughter is LOL. It stands for “Laughing Out Loud.”,서면 웃음의 또 다른 형태는 LOL이다. 그것은 “Laughing Out Loud”의 약자이다.,G0108,어구 표현,stand for,하,15,Another form of written laughter is | LOL. It stands for “Laughing Out Loud.”,서면 웃음의 또 다른 형태는 | LOL이다. 그것은 “Laughing Out Loud”의 약자이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-11,Main,"People also use ROFL quite often, which means “Rolling On the Floor Laughing.”","사람들은 또한 ROFL도 꽤 자주 사용하는데, 이것은 “바닥을 구르며 웃기”를 의미한다.,G0109",G0109,계속적 용법의 관계대명사,"N + , which + V",상,15,"People also use ROFL quite often, | which means “Rolling On the Floor Laughing.”","사람들은 또한 ROFL도 꽤 자주 | 사용하는데, 이것은 “바닥을 구르며 웃기”를 의미한다.,G0109",Main Clause | Sub Clause,AutoParsed,generic_concept
