id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L01-01,Listening,What makes you happy?,무엇이 너를 행복하게 하니?,G0101,5형식 사역동사,make + O + ADJ,하,12,What makes | you happy?,무엇이 너를 | 행복하게 하니?,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-02,Listening,I’m happy when I listen to music.,나는 음악을 들을 때 행복해.,G0102,시간의 접속사,when + S + V,하,12,I’m happy when | I listen to music.,나는 음악을 | 들을 때 행복해.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-03,Listening,I’m glad we can have dinner together.,우리가 함께 저녁을 먹을 수 있어서 기뻐.,G0103,감정의 원인(접속사),be glad (that) + S + V,하,13,I’m glad we | can have dinner together.,우리가 함께 저녁을 | 먹을 수 있어서 기뻐.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-04,Listening,I’m glad we’re in the same class.,우리가 같은 반이 되어서 기뻐.,G0103,감정의 원인(접속사),be glad (that) + S + V,하,13,I’m glad we’re | in the same class.,우리가 같은 | 반이 되어서 기뻐.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-05,Listening,I agree with you. The food looks so delicious.,네 말에 동의해. 음식이 정말 맛있어 보여.,G0104,동의 공식 및 감각동사,agree with / look + ADJ,하,13,I agree with you. | The food looks so delicious.,네 말에 동의해. | 음식이 정말 맛있어 보여.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-06,Listening,You can say that again.,전적으로 동의해. (네 말이 맞아.),G0105,강한 동의 표현,You can say that again,하,14,You can | say that again.,전적으로 동의해. | (네 말이 맞아.),Main Clause | Sub Clause,AutoParsed,generic_concept
L01-07,Listening,I don’t agree with you on that issue.,그 문제에 대해서는 너와 의견이 달라.,G0106,의견 불일치 표현,don't agree with,하,14,I don’t agree with | you on that issue.,그 문제에 대해서는 | 너와 의견이 달라.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-08,Listening,That red phone case looks nice!,저 빨간색 휴대폰 케이스 멋진데!,G0107,감각동사,look + ADJ,하,15,That red phone | case looks nice!,저 빨간색 | 휴대폰 케이스 멋진데!,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-09,Listening,You can say that again! Mom would love it.,정말 그래! 엄마께서 좋아하실 거야.,G0105,강한 동의 표현,You can say that again,하,15,You can say that | again! Mom would love it.,정말 그래! | 엄마께서 좋아하실 거야.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-10,Listening,"It costs 40,000 won. That’s so expensive!",4만 원이야. 너무 비싸다!,G0108,가격 및 상태 표현,It costs + 금액,하,15,"It costs 40,000 | won. That’s so expensive!",4만 원이야. | 너무 비싸다!,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-11,Listening,"I don’t agree. Look! It works as a wallet, too.",난 그렇게 생각하지 않아. 봐! 지갑 기능도 하잖아.,G0106,의견 불일치 표현,don't agree,하,15,"I don’t agree. Look! It | works as a wallet, too.",난 그렇게 생각하지 않아. | 봐! 지갑 기능도 하잖아.,Main Clause | Sub Clause,AutoParsed,generic_concept
L01-12,Listening,I’m delighted to buy something special for Mom.,엄마를 위해 특별한 것을 살 수 있어서 기뻐.,G0103,감정의 원인(to부정사),be delighted to + V,하,15,I’m delighted to buy | something special for Mom.,엄마를 위해 특별한 것을 | 살 수 있어서 기뻐.,Main Clause | Sub Clause,AutoParsed,generic_concept
