id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L08-01,Listening,I can’t stand it. The music is too noisy.,더 이상 못 참겠어. 음악 소리가 너무 시끄러워.,G0801,불평 표현하기,I can't stand + N,하,142,I can’t stand it. | The music is too noisy.,더 이상 못 참겠어. | 음악 소리가 너무 시끄러워.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-02,Listening,Calm down! They’re having a birthday party.,진정해! 그들은 생일 파티를 하고 있잖아.,G0802,진정시키기,Calm down!,하,142,Calm down! They’re | having a birthday party.,진정해! 그들은 생일 | 파티를 하고 있잖아.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-03,Listening,They are talking too loudly. I can’t stand it.,저 사람들이 너무 크게 이야기해서 참을 수가 없어.,G0801,불평 표현하기,I can't stand it,하,142,They are talking too | loudly. I can’t stand it.,저 사람들이 너무 크게 | 이야기해서 참을 수가 없어.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-04,Listening,Calm down! They are very old. They can’t hear well.,진정해! 저분들은 연세가 많으셔서 잘 들리지 않으시는 거야.,G0802,진정시키기,Calm down!,하,142,Calm down! They are very | old. They can’t hear well.,진정해! 저분들은 연세가 많으셔서 | 잘 들리지 않으시는 거야.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-05,Listening,Science is too difficult for me. I don’t think I can finish my homework today.,과학은 나에게 너무 어려워. 오늘 숙제를 다 끝낼 수 있을 것 같지 않아.,G0803,상태 및 추측,too ... for me / I don't think ...,하,143,Science is too difficult for me. I | don’t think I can finish my homework today.,과학은 나에게 너무 어려워. 오늘 숙제를 | 다 끝낼 수 있을 것 같지 않아.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L08-06,Listening,Why didn’t you do the dishes? I can’t stand it.,왜 설거지를 안 했니? 정말 못 참겠어.,G0801,불평 표현하기,I can't stand it,하,143,Why didn’t you do the | dishes? I can’t stand it.,왜 설거지를 안 | 했니? 정말 못 참겠어.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-07,Listening,What’s that noise outside? I can’t stand it.,밖의 저 소음은 뭐야? 정말 견딜 수가 없어.,G0801,불평 표현하기,I can't stand it,하,144,What’s that noise outside? | I can’t stand it.,밖의 저 소음은 뭐야? | 정말 견딜 수가 없어.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-08,Main,You’re the strongest man in my army," but you have much to learn.,너는 내 군대에서 가장 강한 자이지만, 아직 배울 것이 많다.,G0804",G0804,형용사 수식(to부정사),much to learn,하,145,You’re the strongest | man in my army," but you have much to learn.,너는 내 | 군대에서 가장 강한 자이지만, 아직 배울 것이 많다.,G0804",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-09,Main,The king ordered Corky to go to a famous military school.,왕은 코키에게 유명한 군사 학교에 가라고 명령했다.,G0805,5형식 문장(order),order + O + to V,중,145,The king ordered Corky to | go to a famous military school.,왕은 코키에게 유명한 | 군사 학교에 가라고 명령했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-10,Main,Patience is the most important thing to win a war.,인내는 전쟁에서 이기기 위한 가장 중요한 조건이다.,G0806,최상급 표현,the most important thing,하,145,Patience is the most important | thing to win a war.,인내는 전쟁에서 이기기 | 위한 가장 중요한 조건이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-11,Main,Some gave Corky angry looks," and others shouted at him.,어떤 사람들은 코키를 화난 눈으로 쳐다보았고, 다른 사람들은 그에게 소리를 질렀다.,G0807,부정대명사(Some/Others)",부정대명사(Some/Others),Some ..., and others ...,상,146,Some gave | Corky angry looks," and others shouted at him.,어떤 사람들은 코키를 | 화난 눈으로 쳐다보았고, 다른 사람들은 그에게 소리를 질렀다.,G0807,부정대명사(Some/Others)",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-12,Main,Soft words are stronger than sharp swords.,부드러운 말은 날카로운 칼보다 더 강하다.,G0808,비교급 표현,stronger than,하,146,Soft words are | stronger than sharp swords.,부드러운 말은 날카로운 | 칼보다 더 강하다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-13,Main,The first one to sit in the chair will be the winner.,의자에 먼저 앉는 사람이 승자가 될 것이다.,G0809,명사 수식(to부정사),The first one to sit,중,147,The first one to sit in | the chair will be the winner.,의자에 먼저 앉는 | 사람이 승자가 될 것이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-14,Main,Instead," I will take care of the injured.,그 대신에, 나는 부상자들을 돌보겠습니다.,G0810",G0810,어구 표현,take care of,하,147,Instead | ," I will take care of | the injured.,그 대신에, 나는 부상자들을 돌보겠습니다.,G0810",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-15,Main,Of all the great weapons," peace is my favorite.,모든 위대한 무기들 중에서 평화가 내가 가장 좋아하는 것이다.,G0811",G0811,최상급의 범위,Of all the ...,하,148,Of all | the great weapons," peace is my favorite.,모든 위대한 | 무기들 중에서 평화가 내가 가장 좋아하는 것이다.,G0811",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-16,Grammar,One is flying," and the other is sitting on the tree.,한 마리는 날고 있고, 다른 한 마리는 나무 위에 앉아 있다.,G0807,부정대명사(One/The other)",부정대명사(One/The other),One ..., and the other ...,중,149,One | is flying," and the other is sitting on the tree.,한 마리는 | 날고 있고, 다른 한 마리는 나무 위에 앉아 있다.,G0807,부정대명사(One/The other)",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-17,Grammar,Some are making snowmen," and others are playing with snowballs.,어떤 사람들은 눈사람을 만들고 있고, 다른 사람들은 눈싸움을 하고 있다.,G0807,부정대명사(Some/Others)",부정대명사(Some/Others),Some ..., and others ...,중,149,Some are | making snowmen," and others are playing with snowballs.,어떤 사람들은 | 눈사람을 만들고 있고, 다른 사람들은 눈싸움을 하고 있다.,G0807,부정대명사(Some/Others)",Main Clause | Sub Clause,AutoParsed,generic_concept
